,S&P 500,VIX
2018-10-17,2809.2099609375,17.399999618530273
2018-10-18,2768.780029296875,20.059999465942383
2018-10-19,2767.780029296875,19.88999938964844
2018-10-22,2755.8798828125,19.63999938964844
2018-10-23,2740.68994140625,20.709999084472656
2018-10-24,2656.10009765625,25.229999542236328
2018-10-25,2705.570068359375,24.21999931335449
2018-10-26,2658.68994140625,24.15999984741211
2018-10-29,2641.25,24.700000762939453
2018-10-30,2682.6298828125,23.350000381469727
2018-10-31,2711.739990234375,21.229999542236328
2018-11-01,2740.3701171875,19.34000015258789
2018-11-02,2723.06005859375,19.51000022888184
2018-11-05,2738.31005859375,19.959999084472656
2018-11-06,2755.449951171875,19.90999984741211
2018-11-07,2813.889892578125,16.360000610351562
2018-11-08,2806.830078125,16.719999313354492
2018-11-09,2781.010009765625,17.360000610351562
2018-11-12,2726.219970703125,20.450000762939453
2018-11-13,2722.179931640625,20.020000457763672
2018-11-14,2701.580078125,21.25
2018-11-15,2730.199951171875,19.979999542236328
2018-11-16,2736.27001953125,18.13999938964844
2018-11-19,2690.72998046875,20.100000381469727
2018-11-20,2641.889892578125,22.479999542236328
2018-11-21,2649.929931640625,20.799999237060547
2018-11-22,2649.929931640625,20.799999237060547
2018-11-23,2632.56005859375,21.520000457763672
2018-11-26,2673.449951171875,18.899999618530277
2018-11-27,2682.169921875,19.020000457763672
2018-11-28,2743.7900390625,18.489999771118164
2018-11-29,2737.800048828125,18.790000915527344
2018-11-30,2760.169921875,18.06999969482422
2018-12-03,2790.3701171875,16.440000534057617
2018-12-04,2700.06005859375,20.739999771118164
2018-12-05,2700.06005859375,20.739999771118164
2018-12-06,2695.949951171875,21.190000534057617
2018-12-07,2633.080078125,23.229999542236328
2018-12-10,2637.719970703125,22.63999938964844
2018-12-11,2636.780029296875,21.76000022888184
2018-12-12,2651.070068359375,21.459999084472656
2018-12-13,2650.5400390625,20.649999618530277
2018-12-14,2599.949951171875,21.6299991607666
2018-12-17,2545.93994140625,24.520000457763672
2018-12-18,2546.159912109375,25.57999992370605
2018-12-19,2506.9599609375,25.57999992370605
2018-12-20,2467.419921875,28.3799991607666
2018-12-21,2416.6201171875,30.11000061035156
2018-12-24,2351.10009765625,36.06999969482422
2018-12-25,2351.10009765625,36.06999969482422
2018-12-26,2467.699951171875,30.40999984741211
2018-12-27,2488.830078125,29.959999084472656
2018-12-28,2485.739990234375,28.34000015258789
2018-12-31,2506.85009765625,25.420000076293945
2019-01-01,2506.85009765625,25.420000076293945
2019-01-02,2510.030029296875,23.21999931335449
2019-01-03,2447.889892578125,25.450000762939453
2019-01-04,2531.93994140625,21.3799991607666
2019-01-07,2549.68994140625,21.399999618530277
2019-01-08,2574.409912109375,20.46999931335449
2019-01-09,2584.9599609375,19.979999542236328
2019-01-10,2596.639892578125,19.5
2019-01-11,2596.260009765625,18.190000534057617
2019-01-14,2582.610107421875,19.06999969482422
2019-01-15,2610.300048828125,18.600000381469727
2019-01-16,2616.10009765625,19.040000915527344
2019-01-17,2635.9599609375,18.059999465942383
2019-01-18,2670.7099609375,17.799999237060547
2019-01-21,2670.7099609375,17.799999237060547
2019-01-22,2632.89990234375,20.799999237060547
2019-01-23,2638.699951171875,19.520000457763672
2019-01-24,2642.330078125,18.88999938964844
2019-01-25,2664.760009765625,17.420000076293945
2019-01-28,2643.85009765625,18.8700008392334
2019-01-29,2640.0,19.1299991607666
2019-01-30,2681.050048828125,17.65999984741211
2019-01-31,2704.10009765625,16.56999969482422
2019-02-01,2706.530029296875,16.139999389648438
2019-02-04,2724.8701171875,15.729999542236328
2019-02-05,2737.699951171875,15.56999969482422
2019-02-06,2731.610107421875,15.380000114440918
2019-02-07,2706.050048828125,16.3700008392334
2019-02-08,2707.8798828125,15.720000267028809
2019-02-11,2709.800048828125,15.970000267028809
2019-02-12,2744.72998046875,15.43000030517578
2019-02-13,2753.030029296875,15.649999618530272
2019-02-14,2745.72998046875,16.219999313354492
2019-02-15,2775.60009765625,14.90999984741211
2019-02-18,2775.60009765625,14.90999984741211
2019-02-19,2779.760009765625,14.880000114440918
2019-02-20,2784.699951171875,14.020000457763672
2019-02-21,2774.8798828125,14.460000038146973
2019-02-22,2792.669921875,13.510000228881836
2019-02-25,2796.110107421875,14.850000381469728
2019-02-26,2793.89990234375,15.170000076293944
2019-02-27,2792.3798828125,14.699999809265137
2019-02-28,2784.489990234375,14.779999732971191
2019-03-01,2803.68994140625,13.56999969482422
2019-03-04,2792.81005859375,14.630000114440918
2019-03-05,2789.64990234375,14.739999771118164
2019-03-06,2771.449951171875,15.739999771118164
2019-03-07,2748.929931640625,16.59000015258789
2019-03-08,2743.070068359375,16.049999237060547
2019-03-11,2783.300048828125,14.329999923706056
2019-03-12,2791.52001953125,13.770000457763672
2019-03-13,2810.919921875,13.40999984741211
2019-03-14,2808.47998046875,13.5
2019-03-15,2822.47998046875,12.880000114440918
2019-03-18,2832.93994140625,13.100000381469728
2019-03-19,2832.570068359375,13.5600004196167
2019-03-20,2824.22998046875,13.90999984741211
2019-03-21,2854.8798828125,13.630000114440918
2019-03-22,2800.7099609375,16.479999542236328
2019-03-25,2798.360107421875,16.329999923706055
2019-03-26,2818.4599609375,14.68000030517578
2019-03-27,2805.3701171875,15.149999618530272
2019-03-28,2815.43994140625,14.43000030517578
2019-03-29,2834.39990234375,13.710000038146973
2019-04-01,2867.18994140625,13.399999618530272
2019-04-02,2867.239990234375,13.359999656677246
2019-04-03,2873.39990234375,13.739999771118164
2019-04-04,2879.389892578125,13.579999923706056
2019-04-05,2892.739990234375,12.81999969482422
2019-04-08,2895.77001953125,13.18000030517578
2019-04-09,2878.199951171875,14.279999732971191
2019-04-10,2888.2099609375,13.300000190734863
2019-04-11,2888.320068359375,13.020000457763672
2019-04-12,2907.409912109375,12.010000228881836
2019-04-15,2905.580078125,12.31999969482422
2019-04-16,2907.06005859375,12.18000030517578
2019-04-17,2900.449951171875,12.600000381469728
2019-04-18,2905.030029296875,12.09000015258789
2019-04-19,2905.030029296875,12.09000015258789
2019-04-22,2907.969970703125,12.420000076293944
2019-04-23,2933.679931640625,12.279999732971191
2019-04-24,2927.25,13.140000343322754
2019-04-25,2926.169921875,13.25
2019-04-26,2939.8798828125,12.729999542236328
2019-04-29,2943.030029296875,13.109999656677246
2019-04-30,2945.830078125,13.119999885559082
2019-05-01,2923.72998046875,14.800000190734863
2019-05-02,2917.52001953125,14.420000076293944
2019-05-03,2945.639892578125,12.869999885559082
2019-05-06,2932.469970703125,15.4399995803833
2019-05-07,2884.050048828125,19.31999969482422
2019-05-08,2879.419921875,19.399999618530277
2019-05-09,2870.719970703125,19.100000381469727
2019-05-10,2881.39990234375,16.040000915527344
2019-05-13,2811.8701171875,20.549999237060547
2019-05-14,2834.409912109375,18.059999465942383
2019-05-15,2850.9599609375,16.440000534057617
2019-05-16,2876.320068359375,15.289999961853027
2019-05-17,2859.530029296875,15.960000038146973
2019-05-20,2840.22998046875,16.309999465942383
2019-05-21,2864.360107421875,14.949999809265137
2019-05-22,2856.27001953125,14.75
2019-05-23,2822.239990234375,16.920000076293945
2019-05-24,2826.06005859375,15.850000381469728
2019-05-27,2826.06005859375,15.850000381469728
2019-05-28,2802.389892578125,17.5
2019-05-29,2783.02001953125,17.899999618530273
2019-05-30,2788.860107421875,17.299999237060547
2019-05-31,2752.06005859375,18.709999084472656
2019-06-03,2744.449951171875,18.86000061035156
2019-06-04,2803.27001953125,16.969999313354492
2019-06-05,2826.14990234375,16.09000015258789
2019-06-06,2843.489990234375,15.93000030517578
2019-06-07,2873.340087890625,16.299999237060547
